spelling,lexicality,rt,zscore,accuracy,rt.sd,zscore.sd,accuracy.sd
velds,W,735,1.097607041,0.025,NA,NA,0.158113883
vellum,W,845.4444444,1.05831926,0.236842105,331.1786191,1.435583175,0.430851484
velour,W,793.2352941,0.770393879,0.5,275.987212,1.127948732,0.50671171
velum,W,806.3333333,1.321348197,0.15,241.7466994,1.259323725,0.361620285
velvet,W,563.525,-0.491186102,1,178.3767243,0.782583849,0
venal,W,810.9285714,0.989710049,0.368421053,340.5446914,1.083013961,0.48885153
vend,W,628.3571429,-0.110587546,0.763157895,150.0985391,0.800466783,0.430851484
vending,W,647.8378378,-0.010009879,0.973684211,150.3685313,0.570421342,0.162221421
vendor,W,651.3333333,0.156827709,0.925,182.2513178,1.045145796,0.266746783
vendors,W,697.0294118,0.29739985,0.894736842,237.9305329,1.204977719,0.311011748
vends,W,737.6666667,0.731495871,0.657894737,252.9231997,1.208800765,0.480782908
veneer,W,678.9032258,0.328508852,0.775,175.071672,0.609060249,0.422902062
veneered,W,824.92,1.256445719,0.736842105,218.2191024,1.158348104,0.44625835
veneers,W,710.2,0.548331985,0.825,152.7078346,0.807743723,0.384807644
venge,W,750.1333333,0.766858699,0.5,259.6469765,1.276260007,0.50671171
vengeance,W,707.7105263,0.434909698,0.95,246.1346487,1.080588322,0.220721428
venged,W,745.6666667,0.864977178,0.45,212.8573121,1.070832236,0.503831474
vengeful,W,676.9705882,0.357203896,0.85,173.7016748,0.99099274,0.361620285
venial,W,785.4,0.903972963,0.289473684,245.0084806,1.373256313,0.459605867
venice,W,596.4516129,-0.182459213,0.894736842,123.2284704,0.679433204,0.311011748
venom,W,621.2702703,-0.165394085,0.973684211,111.9565016,0.631704724,0.162221421
venous,W,649.1764706,0.550000557,0.425,172.7336227,1.300879479,0.500640615
vent,W,562.5555556,-0.405181545,0.947368421,113.7394126,0.70709012,0.226294286
vented,W,619.7222222,-0.031067934,0.973684211,239.8213158,1.114927265,0.162221421
venting,W,665.3157895,0.078633704,1,293.8263051,1.110587399,0
vents,W,602.5641026,-0.22140841,0.975,172.2299251,0.888985786,0.158113883
venture,W,566.4102564,-0.407161711,0.975,114.1662495,0.553401924,0.158113883
ventured,W,617.3428571,-0.157373262,0.921052632,178.5683166,0.765705388,0.273276313
ventures,W,640.225,-0.005691069,1,264.5050033,1.22055718,0
venue,W,559.475,-0.348396882,1,135.6327975,0.846805529,0
venues,W,568.8684211,-0.522062931,1,147.8688555,0.539890118,0
venus,W,574.5833333,-0.381371913,0.973684211,118.4310227,0.557250095,0.162221421
verb,W,518.6578947,-0.692652821,0.95,117.5755712,0.511316868,0.220721428
verbal,W,581.525,-0.347482679,1,177.2801618,0.824313864,0
verbals,W,591.8484848,-0.232284105,0.894736842,110.0980021,0.535892694,0.311011748
verbose,W,755.6923077,0.787906626,0.342105263,135.2808096,0.862055598,0.480782908
verbs,W,587.3333333,-0.406020581,0.975,250.4470039,0.799491875,0.158113883
verdant,W,657.4444444,0.338265427,0.3,157.8528675,0.628738367,0.464095481
verdict,W,578.9722222,-0.358509034,0.947368421,118.9315496,0.600773804,0.226294286
verdicts,W,605.2894737,-0.123448868,0.95,171.2578123,0.928933844,0.220721428
verdure,W,638,0.670056364,0.131578947,103.8123307,0.61277457,0.342569987
verge,W,599.1891892,-0.207868434,0.925,159.6069544,0.779970568,0.266746783
verger,W,748,0.829543347,0.368421053,170.3056077,0.90915131,0.48885153
vergers,W,713.4166667,0.697608639,0.315789474,120.6711974,0.723534283,0.471069121
verges,W,636.7647059,0.131707495,0.875,125.6835996,0.732738284,0.334932064
vermin,W,620.1212121,-0.0065971,0.825,140.3793427,0.741844903,0.384807644
vermouth,W,716,0.653636972,0.7,201.3258139,1.134882835,0.464095481
vernal,W,697.1428571,0.443016577,0.2,354.0472796,1.485516601,0.405095747
verse,W,569.1944444,-0.469285912,0.947368421,201.6384061,0.866738323,0.226294286
versed,W,689.3928571,0.268247467,0.725,223.4839193,0.939225925,0.452202587
verses,W,626.2777778,-0.290426749,0.947368421,218.2236875,0.666343317,0.226294286
version,W,584.8378378,-0.393626118,1,184.1396682,0.757564742,0
versions,W,582.8421053,-0.214316063,0.95,193.2491077,1.056517915,0.220721428
verso,W,746.4285714,0.877692622,0.184210526,216.8085616,1.462037854,0.392859452
versos,W,705.3333333,1.420572725,0.15,133.078423,2.168391857,0.361620285
versus,W,602.9722222,-0.219093413,0.925,199.0571327,0.915222898,0.266746783
vertex,W,728.2083333,0.392098283,0.625,263.6910213,1.067664891,0.490290338
verve,W,597.2857143,-0.105787534,0.875,152.4387189,0.9738974,0.334932064
very,W,525.8205128,-0.688667854,0.975,97.19862242,0.520556184,0.158113883
vespers,W,776.0625,1.091920536,0.45,174.6678634,1.129479166,0.503831474
vessel,W,588.1944444,-0.333593544,0.947368421,147.307612,0.75029581,0.226294286
