Start,End,Time Zone,Duration,Restful Minutes, Restless Minutes, Awake Minutes
2021-12-14 00:33,2021-12-14 06:44,GMT-4,370,359,12,0
2021-12-13 00:00,2021-12-13 07:00,CEST,419,371,27,22
2021-12-12 00:49,2021-12-12 08:32,CEST,463,456,6,1
2021-12-09 22:30,2021-12-10 03:21,CEST,291,287,4,0
2021-12-09 00:01,2021-12-09 07:00,CEST,418,403,16,0
2021-12-07 23:22,2021-12-08 06:00,CEST,397,386,12,0
2021-12-06 22:31,2021-12-07 06:16,CEST,465,437,28,0
2021-12-05 23:31,2021-12-06 06:28,CEST,418,381,36,0
2021-12-04 23:30,2021-12-05 09:12,CEST,582,557,23,2
2021-12-03 22:30,2021-12-04 09:40,CEST,671,641,27,3
2021-12-02 23:00,2021-12-03 05:43,CEST,403,378,18,7
2021-12-02 00:10,2021-12-02 06:45,CEST,395,381,14,0
2021-12-01 00:57,2021-12-01 06:00,CEST,303,282,20,0
2021-11-29 23:15,2021-11-30 06:35,CEST,439,404,35,0
2021-11-28 23:20,2021-11-29 06:40,CEST,440,411,29,0
2021-11-27 23:42,2021-11-28 07:47,CEST,485,453,32,0
2021-11-26 23:30,2021-11-27 08:03,CEST,514,474,40,0
2021-11-25 22:30,2021-11-26 06:08,CEST,458,437,21,0
2021-11-24 23:12,2021-11-25 06:03,CEST,412,391,21,0
2021-11-24 00:10,2021-11-24 06:51,CEST,401,376,25,0
2021-11-22 23:00,2021-11-23 05:56,CEST,417,395,22,0
2021-11-21 23:30,2021-11-22 06:19,CEST,409,402,4,3
2021-11-20 23:00,2021-11-21 07:34,CEST,514,495,18,0
2021-11-19 23:30,2021-11-20 09:11,CEST,582,543,36,3
2021-11-18 22:02,2021-11-19 06:30,CEST,508,475,33,0
2021-11-17 22:39,2021-11-18 05:36,CEST,418,407,11,0
2021-11-16 23:37,2021-11-17 06:48,CEST,432,393,30,9
2021-11-15 21:37,2021-11-16 06:18,CEST,521,468,43,11
2021-11-14 22:14,2021-11-15 06:18,CEST,483,472,11,0
2021-11-13 21:30,2021-11-14 08:14,CEST,645,603,42,0
2021-11-12 23:30,2021-11-13 07:21,CEST,471,428,42,2
2021-11-11 22:31,2021-11-12 06:30,CEST,479,470,10,0
2021-11-10 22:43,2021-11-11 06:07,CEST,444,433,11,0
2021-11-10 00:32,2021-11-10 06:24,CEST,352,343,10,0
2021-11-09 00:18,2021-11-09 06:43,CEST,385,363,22,0
2021-11-07 22:00,2021-11-08 06:25,CEST,506,486,14,5
2021-11-06 22:30,2021-11-07 07:13,CEST,524,502,22,0
2021-11-05 22:39,2021-11-06 09:05,CEST,626,585,28,13
2021-11-04 23:45,2021-11-05 06:14,CEST,389,385,4,0
2021-11-03 23:30,2021-11-04 06:09,CEST,400,389,11,0
2021-11-02 23:30,2021-11-03 06:03,CEST,393,378,15,0
2021-11-02 00:10,2021-11-02 05:50,CEST,340,338,2,0
2021-10-31 23:00,2021-11-01 06:03,CEST,424,412,11,0
2021-10-30 23:52,2021-10-31 06:54,CEST,482,476,6,0
2021-10-28 23:00,2021-10-29 06:07,CEST,427,401,26,0
2021-10-27 23:05,2021-10-28 05:45,CEST,400,397,3,0
2021-10-27 01:00,2021-10-27 06:10,CEST,310,294,17,0
2021-10-26 00:20,2021-10-26 05:46,CEST,326,309,17,0
2021-10-24 23:53,2021-10-25 06:30,CEST,396,378,14,4
2021-10-23 22:42,2021-10-24 08:26,CEST,584,565,19,0
2021-10-23 02:00,2021-10-23 09:30,CEST,450,431,19,0
2021-10-21 23:02,2021-10-22 09:11,CEST,609,546,55,8
2021-10-21 00:03,2021-10-21 06:40,CEST,397,377,18,1
2021-10-20 02:22,2021-10-20 08:30,CEST,368,322,44,2
2021-10-19 02:39,2021-10-19 08:43,CEST,364,356,7,0
2021-10-17 23:15,2021-10-18 07:47,CEST,512,485,24,3
2021-10-16 22:12,2021-10-17 08:49,CEST,637,602,33,2
2021-10-16 01:00,2021-10-16 08:14,CEST,435,416,19,0
2021-10-14 22:11,2021-10-15 06:02,CEST,471,464,7,0
2021-10-13 23:31,2021-10-14 05:58,CEST,387,382,4,2
2021-10-12 23:35,2021-10-13 05:48,CEST,373,369,4,0
2021-10-11 23:52,2021-10-12 05:59,CEST,367,349,18,0
2021-10-10 23:09,2021-10-11 06:19,CEST,430,412,17,0
2021-10-08 00:02,2021-10-08 06:00,CEST,358,353,2,2
2021-10-06 23:05,2021-10-07 05:53,CEST,408,401,6,0
2021-10-06 00:00,2021-10-06 05:50,CEST,351,337,13,0
2021-10-04 23:30,2021-10-05 05:45,CEST,376,361,14,0
2021-10-03 22:31,2021-10-04 06:15,CEST,463,454,8,2
2021-10-02 23:22,2021-10-03 09:00,CEST,578,543,28,6
2021-10-01 23:11,2021-10-02 07:42,CEST,511,497,11,3
2021-09-30 22:53,2021-10-01 06:30,CEST,458,439,16,2
2021-09-29 23:19,2021-09-30 06:11,CEST,412,396,6,9
2021-09-28 23:00,2021-09-29 06:16,CEST,436,420,16,0
2021-09-27 23:02,2021-09-28 06:03,CEST,421,401,20,0
2021-09-26 22:36,2021-09-27 06:14,CEST,458,429,29,0
2021-09-25 00:30,2021-09-25 07:57,CEST,447,428,16,2
2021-09-24 00:00,2021-09-24 06:00,CEST,360,346,14,0
2021-09-23 00:24,2021-09-23 06:09,CEST,345,334,8,3
2021-09-21 23:53,2021-09-22 06:18,CEST,385,376,9,0
2021-09-20 23:40,2021-09-21 06:10,CEST,389,378,9,2
2021-09-19 23:41,2021-09-20 05:57,CEST,376,364,9,3
2021-09-18 23:31,2021-09-19 08:21,CEST,530,508,20,2
2021-09-18 00:00,2021-09-18 07:51,CEST,471,452,17,2
2021-09-16 22:30,2021-09-17 06:19,CEST,469,443,22,5
2021-09-15 23:32,2021-09-16 06:00,CEST,387,375,11,1
2021-09-14 23:00,2021-09-15 05:36,CEST,396,383,13,0
2021-09-12 23:00,2021-09-13 02:45,CEST,226,216,10,0
2021-09-11 22:30,2021-09-12 06:56,CEST,506,492,14,0
2021-09-10 22:41,2021-09-11 06:44,CEST,483,467,14,2
2021-09-09 22:34,2021-09-10 06:09,CEST,454,435,20,0
2021-09-08 23:42,2021-09-09 05:42,CEST,360,354,6,0
2021-09-07 22:33,2021-09-08 06:05,CEST,452,440,11,0
2021-09-06 23:02,2021-09-07 06:00,CEST,418,396,14,8
2021-09-05 23:30,2021-09-06 06:15,CEST,405,389,16,0
2021-09-04 22:38,2021-09-05 07:50,CEST,552,530,22,0
2021-09-02 22:27,2021-09-03 06:06,CEST,460,446,11,3
2021-09-01 23:55,2021-09-02 06:28,CEST,393,382,11,0
2021-09-01 00:02,2021-09-01 06:20,CEST,378,363,14,0
2021-08-31 00:31,2021-08-31 06:28,CEST,357,345,12,0
2021-08-28 23:54,2021-08-29 06:09,CEST,375,367,8,0
2021-08-28 03:56,2021-08-28 08:26,CEST,270,262,8,0
2021-08-26 22:36,2021-08-27 06:23,CEST,467,447,20,0
2021-08-26 01:30,2021-08-26 06:41,CEST,311,295,14,2
2021-08-24 21:41,2021-08-25 06:18,CEST,517,498,17,3
2021-08-24 00:00,2021-08-24 05:32,CEST,332,321,11,0
2021-08-22 22:02,2021-08-23 06:18,CEST,496,479,16,2
2021-08-21 22:05,2021-08-22 09:00,CEST,655,621,22,12
2021-08-21 00:50,2021-08-21 08:06,CEST,437,423,13,0
2021-08-18 22:00,2021-08-19 06:17,CEST,498,482,16,0
2021-08-17 22:58,2021-08-18 06:47,CEST,469,442,13,14
2021-08-16 23:52,2021-08-17 06:39,CEST,407,390,17,0
2021-08-15 23:28,2021-08-16 06:19,CEST,411,402,9,0
2021-08-15 00:01,2021-08-15 08:09,CEST,489,473,12,3
2021-08-14 00:30,2021-08-14 07:26,CEST,416,404,12,0
