item;n_trials;err;rt;sd;rtz;n_used;c_freq_movies;lc_freq_movies;c_freq_books;lc_freq_books;n_letters;n_syllables
veuves;24;0;640,2083333;129,9437936;-0,338227416;24;2,07;0,315970345;4,73;0,674861141;6;1
veux;25;0,28;661,0555556;216,1629212;-0,013576345;18;2486,93;3,395663561;377,97;2,577457331;4;1
vexations;25;0,2;806,3;215,4063724;0,348272309;20;0,05;-1,301029996;1,15;0,06069784;9;3
vexe;24;0,166666667;699,7222222;237,725696;0,02073038;18;1,65;0,217483944;1,76;0,245512668;4;1
vexé;25;0,04;616,75;142,2674304;-0,712308851;24;5,46;0,737192643;8,51;0,92992956;4;2
vexée;25;0,04;613,5;96,66886554;-0,517256522;24;2,64;0,421603927;2,43;0,385606274;5;2
vexer;25;0;695,28;208,9426795;-0,336014349;25;4,3;0,633468456;2,57;0,409933123;5;2
via;23;0,304347826;777,2;171,5922076;0,241641083;15;6,53;0,814913181;5,41;0,733197265;3;1
viables;25;0,2;869,7;263,6333379;0,5861746;20;0,29;-0,537602002;0,27;-0,568636236;7;1
viande;25;0;558,68;78,69334999;-0,814612256;25;43,78;1,641275757;41,35;1,616475514;6;1
viandé;25;0,4;705,3333333;318,7161;-0,095535142;15;0,04;-1,397940009;0,07;-1,15490196;6;2
viander;25;0,2;736,9444444;276,8937941;0,221204013;18;0,01;-2;0,14;-0,853871964;7;2
viandes;26;0,038461538;621,76;113,1872637;-0,707038742;25;0,65;-0,187086643;3,65;0,562292864;7;1
vibrait;25;0;660,12;168,226613;-0,44428296;25;0,22;-0,657577319;6,22;0,793790385;7;2
vibrant;25;0;612,16;124,977558;-0,435224551;25;0,83;-0,080921908;4,53;0,656098202;7;2
vibrante;25;0;646,24;153,0861087;-0,283763689;25;0,22;-0,657577319;3,78;0,5774918;8;2
vibration;24;0;700,625;121,8351747;-0,318034424;24;1,28;0,10720997;8,58;0,933487288;9;3
vibrations;23;0,086956522;648,7619048;143,4792336;-0,480520662;21;3,21;0,506505032;4,05;0,607455023;10;3
vibre;25;0,08;669,2173913;129,7861726;-0,247014933;23;1,79;0,252853031;3,78;0,5774918;5;1
vibrer;23;0;705,7826087;212,9235792;-0,182876922;23;2,06;0,31386722;8,31;0,919601024;6;2
vibromasseur;25;0,04;898;283,9349282;0,710096068;24;0,85;-0,070581074;0;#NAME?;12;4
vicaire;24;0,416666667;729,5;101,518919;-0,090854823;12;0,68;-0,167491087;2,23;0,348304863;7;2
vice;49;0,040816327;692,893617;175,8330772;-0,233121717;47;7,78;0,890979597;13,45;1,128722284;4;1
vicelard;25;0,32;877,1176471;179,2438571;0,672941494;17;0,6;-0,22184875;1,49;0,173186268;8;2
vicelards;25;0,44;1136,916667;262,9069861;1,557925124;12;0,2;-0,698970004;0,81;-0,091514981;9;2
vices;23;0,043478261;695,05;133,2111403;-0,18695181;20;4,52;0,655138435;5;0,698970004;5;1
vicieuse;25;0,08;811,3043478;267,5764011;0,225318478;23;1,68;0,225309282;2,5;0,397940009;8;2
vicieux;26;0,076923077;710,25;183,3457769;-0,210350808;24;5,8;0,763427994;6,76;0,829946696;7;2
vicissitudes;25;0,32;1002,823529;239,1495963;1,565160609;17;0,04;-1,397940009;2,03;0,307496038;12;4
vicomte;24;0,333333333;861,625;308,1652966;0,575067146;16;0,41;-0,387216143;5,61;0,748962861;7;2
victime;25;0,04;597,7916667;136,0127805;-0,556056512;24;66,47;1,822625679;28,45;1,454082271;7;2
victimes;25;0,04;627,75;119,9877711;-0,630429643;24;39,78;1,599664779;17,77;1,249687428;8;2
victoire;25;0,04;616,4583333;121,0874564;-0,463373116;24;31,31;1,495683068;57,23;1,757623746;8;2
victoires;25;0;658,32;152,8380734;-0,455556652;25;3,65;0,562292864;6,01;0,778874472;9;2
victorieuse;25;0;757,88;174,4174399;-0,005164613;25;0,22;-0,657577319;4,73;0,674861141;11;3
victorieusement;25;0;757,48;205,0099835;0,349259702;25;0;#NAME?;1,82;0,260071388;15;4
victorieuses;25;0;799,3333333;238,4452661;0,268572976;24;0,19;-0,721246399;1,35;0,130333768;12;3
victorieux;25;0;669,52;135,0413887;-0,386882021;25;2,54;0,404833717;3,24;0,51054501;10;3
victuailles;22;0,454545455;805,5833333;192,84872;0,313343542;12;0,41;-0,387216143;4,19;0,622214023;11;2
vida;25;0,36;675,9333333;279,0380073;-0,296031309;15;1,06;0,025305865;9,32;0,969415912;4;2
vidai;25;0,28;764,3529412;207,1505917;0,504602835;17;0;#NAME?;1,22;0,086359831;5;2
vidaient;26;0,076923077;708,7142857;188,0548172;-0,102398807;21;0,08;-1,096910013;1,76;0,245512668;8;2
vidait;26;0,076923077;698,4583333;265,4233664;-0,397621799;24;0,43;-0,366531544;5,95;0,774516966;6;2
vidange;25;0;666,24;209,5320739;-0,246102528;25;1,13;0,053078443;1,42;0,152288344;7;2
vidangeurs;25;0,24;983,1666667;311,5764942;1,398160522;18;0;#NAME?;0,2;-0,698970004;10;3
vidangez;24;0,166666667;773,6315789;152,4004996;0,45816189;19;0,02;-1,698970004;0,07;-1,15490196;8;3
vidant;25;0;722,7083333;162,553397;-0,159023444;24;0,24;-0,619788758;2,84;0,45331834;6;2
vide;49;0,040816327;731,106383;244,3443965;-0,10571196;47;70,62;1,848927713;187,9;2,27392678;4;1
vidé;24;0;590,2916667;182,3535694;-0,634215703;24;7,95;0,900367129;13,85;1,141449773;4;2
vidée;24;0;620,5416667;148,0493394;-0,577630523;24;1,68;0,225309282;4,26;0,629409599;5;2
vidées;24;0;732,5833333;289,9118182;-0,269897091;24;0,38;-0,420216403;1,42;0,152288344;6;2
vident;25;0,12;770,1363636;210,7441002;0,138576536;22;0,81;-0,091514981;1,49;0,173186268;6;1
vidéo;25;0;566,76;84,01650631;-0,794400201;25;38,84;1,589279221;0,94;-0,026872146;5;3
vidéos;25;0;601,36;134,9805171;-0,656841609;25;6,1;0,785329835;0,2;-0,698970004;6;3
vider;25;0,04;578,875;97,95132442;-0,83670936;24;8,31;0,919601024;16,82;1,225825991;5;2
videras;24;0,166666667;770,3157895;170,4634378;0,304026797;19;0;#NAME?;0,07;-1,15490196;7;2
